credit_score,monthly_income,debt_to_income_ratio,recent_delinquencies,loan_amount_requested,ground_truth,case_type
604,6705.0,0.6322,0,20100.0,0,standard
749,8300.0,0.0072,0,24900.0,0,standard
523,3700.0,1.0,1,11100.0,0,standard
577,5525.0,0.675,0,16600.0,0,standard
703,1000.0,0.1147,0,3000.0,0,standard
748,1500.0,0.0149,0,4500.0,0,standard
500,7500.0,1.0,1,22500.0,1,standard
625,3950.0,0.3889,1,11800.0,1,standard
458,4400.0,0.6299,7,13200.0,1,standard
719,5000.0,0.0625,0,15000.0,0,standard
691,12090.0,0.203,0,36300.0,0,standard
748,6750.0,0.0125,0,20200.0,0,standard
693,3000.0,0.1939,0,9000.0,0,standard
697,25200.0,0.0699,2,75600.0,1,standard
721,10616.0,0.0982,0,31800.0,0,standard
730,5100.0,0.0195,0,15300.0,0,standard
466,1300.0,0.8751,4,3900.0,1,standard
743,4333.0,0.0363,0,13000.0,0,standard
533,4800.0,0.8693,1,14400.0,1,standard
617,16279.0,0.1039,4,48800.0,1,standard
728,7676.0,0.0617,0,23000.0,0,standard
480,1905.0,1.0,2,5700.0,1,standard
720,3100.0,0.1403,0,9300.0,0,standard
531,1100.0,1.0,1,3300.0,1,standard
698,15439.0,0.0114,0,46300.0,0,standard
642,2105.0,0.534,0,6300.0,0,standard
621,4000.0,0.5298,0,12000.0,0,standard
500,4640.0,1.0,0,13900.0,0,standard
544,2250.0,0.783,0,6800.0,1,standard
587,7850.0,0.4825,2,23600.0,1,standard
497,1400.0,1.0,1,4200.0,1,standard
351,6283.0,1.0,10,18800.0,1,standard
697,500.0,0.0187,0,1500.0,0,standard
641,500.0,0.2991,0,1500.0,0,standard
537,1600.0,0.9758,0,4800.0,0,standard
727,3833.0,0.0,0,11500.0,0,standard
543,12500.0,1.0,0,37500.0,0,standard
606,12866.0,0.6113,0,38600.0,0,standard
709,10650.0,0.1379,0,32000.0,0,standard
742,4333.0,0.0397,0,13000.0,0,standard
688,500.0,0.0627,0,1500.0,0,standard
727,3000.0,0.0,0,9000.0,0,standard
681,500.0,0.0974,0,1500.0,0,standard
525,4000.0,1.0,1,12000.0,1,standard
489,3128.0,1.0,3,9400.0,1,standard
712,4500.0,0.0497,0,13500.0,0,standard
531,3600.0,1.0,0,10800.0,0,standard
549,2579.0,0.8725,0,7700.0,1,standard
725,3162.0,0.0225,0,9500.0,0,standard
720,2500.0,0.0736,0,7500.0,1,standard
750,2500.0,0.0039,0,7500.0,0,standard
738,14500.0,0.0255,0,43500.0,0,standard
563,18300.0,0.6798,2,54900.0,1,standard
744,5559.0,0.0144,0,16700.0,0,standard
566,3500.0,0.6784,0,10500.0,1,standard
693,10000.0,0.2042,0,30000.0,0,standard
745,3766.0,0.0031,0,11300.0,0,standard
565,11139.0,0.8752,0,33400.0,0,standard
727,7981.0,0.0419,0,23900.0,0,standard
735,6032.0,0.0183,0,18100.0,0,standard
488,2000.0,1.0,2,6000.0,1,standard
728,11953.0,0.0851,0,35900.0,0,standard
726,2274.0,0.0936,0,6800.0,0,standard
709,11600.0,0.12,0,34800.0,0,standard
531,6000.0,1.0,1,18000.0,0,standard
665,9000.0,0.2288,1,27000.0,0,standard
623,8414.0,0.4749,0,25200.0,0,standard
544,4200.0,0.785,2,12600.0,1,standard
736,5020.0,0.0741,0,15100.0,0,standard
628,5000.0,0.5603,0,15000.0,0,standard
725,22000.0,0.0738,0,66000.0,0,standard
682,500.0,0.092,0,1500.0,0,standard
551,2166.0,1.0,0,6500.0,0,standard
549,8000.0,0.8708,0,24000.0,1,standard
429,4500.0,1.0,5,13500.0,1,standard
708,7000.0,0.0,0,21000.0,0,standard
550,1800.0,1.0,0,5400.0,0,standard
557,4443.0,0.6006,2,13300.0,1,standard
726,7600.0,0.1087,0,22800.0,1,standard
739,6883.0,0.0181,0,20600.0,0,standard
659,3900.0,0.2512,1,11700.0,0,standard
714,3178.0,0.1194,0,9500.0,0,standard
479,3750.0,1.0,3,11200.0,1,standard
546,3450.0,1.0,0,10400.0,0,standard
721,6236.0,0.0036,0,18700.0,0,standard
639,5178.0,0.4333,0,15500.0,1,standard
711,2000.0,0.0,0,6000.0,0,standard
716,9166.0,0.1016,0,27500.0,0,standard
701,5000.0,0.0942,1,15000.0,1,standard
664,3750.0,0.2423,0,11200.0,0,standard
639,8870.0,0.1604,3,26600.0,0,standard
703,11733.0,0.1897,0,35200.0,0,standard
560,3132.0,0.6088,3,9400.0,0,standard
539,2200.0,0.9811,0,6600.0,0,standard
652,11249.0,0.2674,1,33700.0,0,standard
719,1614.0,0.0,0,4800.0,0,standard
665,4100.0,0.2864,0,12300.0,0,standard
716,5000.0,0.099,0,15000.0,0,standard
545,2149.0,1.0,0,6400.0,0,standard
715,9500.0,0.0945,0,28500.0,0,standard
420,6470.0,0.977,5,19400.0,1,standard
648,500.0,0.2637,0,1500.0,0,standard
541,3276.0,1.0,0,9800.0,1,standard
738,7183.0,0.0155,0,21500.0,0,standard
676,3750.0,0.2126,1,11200.0,0,standard
741,10500.0,0.0024,0,31500.0,0,standard
740,12840.0,0.0,0,38500.0,0,standard
442,2000.0,0.9312,4,6000.0,1,standard
728,2000.0,0.0571,0,6000.0,0,standard
616,4800.0,0.5835,0,14400.0,0,standard
718,6000.0,0.1515,0,18000.0,0,standard
692,5256.0,0.2686,0,15800.0,0,standard
545,9000.0,1.0,0,27000.0,1,standard
697,17256.0,0.2013,0,51800.0,0,standard
699,5620.0,0.1437,0,16900.0,0,standard
596,7300.0,0.092,6,21900.0,1,standard
746,10500.0,0.0025,0,31500.0,0,standard
690,929.0,0.3017,0,2800.0,0,standard
648,5104.0,0.4853,0,15300.0,0,standard
598,5000.0,0.4728,1,15000.0,0,standard
727,7452.0,0.0856,0,22400.0,0,standard
542,5000.0,0.9655,0,15000.0,1,standard
520,10800.0,0.8028,3,32400.0,1,standard
573,15000.0,0.8433,0,45000.0,1,standard
688,50000.0,0.3028,0,150000.0,0,standard
654,3640.0,0.449,0,10900.0,0,standard
459,4583.0,1.0,4,13700.0,1,standard
713,30000.0,0.0551,1,90000.0,1,standard
616,4361.0,0.2469,3,13100.0,0,standard
673,4735.0,0.345,0,14200.0,0,standard
705,4200.0,0.0752,0,12600.0,0,standard
595,9300.0,0.7317,0,27900.0,0,standard
734,16000.0,0.0,0,48000.0,0,standard
566,4712.0,0.7789,0,14100.0,1,standard
750,1750.0,0.0004,0,5200.0,0,standard
506,7033.0,1.0,2,21100.0,1,standard
447,3500.0,0.496,10,10500.0,1,standard
564,2500.0,0.6922,1,7500.0,0,standard
551,1200.0,1.0,0,3600.0,1,standard
692,8750.0,0.2228,0,26200.0,0,standard
582,4084.0,0.535,1,12300.0,0,standard
740,11892.0,0.0009,0,35700.0,0,standard
650,2400.0,0.3993,0,7200.0,0,standard
670,3000.0,0.3688,0,9000.0,0,standard
451,3792.0,1.0,4,11400.0,1,standard
681,10666.0,0.2622,0,32000.0,0,standard
750,2300.0,0.0,0,6900.0,0,standard
700,500.0,0.0,0,1500.0,0,standard
731,4560.0,0.0704,0,13700.0,0,standard
734,6200.0,0.0161,0,18600.0,0,standard
554,4600.0,0.9614,0,13800.0,1,standard
600,2875.0,0.5008,0,8600.0,0,standard
661,2850.0,0.0,3,8600.0,1,standard
522,6000.0,0.9851,0,18000.0,1,standard
515,2424.0,1.0,1,7300.0,0,standard
409,1300.0,1.0,6,3900.0,1,standard
637,2500.0,0.4131,0,7500.0,0,standard
664,5000.0,0.1552,1,15000.0,0,standard
694,4998.0,0.1529,0,15000.0,0,standard
674,8620.0,0.3069,0,25900.0,0,standard
352,4541.0,1.0,9,13600.0,1,standard
600,16984.0,0.3147,4,51000.0,1,standard
671,6500.0,0.223,0,19500.0,0,standard
640,5521.0,0.5265,0,16600.0,0,standard
607,2200.0,0.7111,0,6600.0,1,standard
723,4009.0,0.0184,0,12000.0,0,standard
740,13600.0,0.0,0,40800.0,0,standard
732,7500.0,0.0345,0,22500.0,0,standard
678,6369.0,0.2474,0,19100.0,0,standard
716,10416.0,0.1594,0,31200.0,0,standard
721,12083.0,0.0112,1,36200.0,0,standard
658,8479.0,0.443,0,25400.0,0,standard
620,1200.0,0.0,4,3600.0,1,standard
742,2978.0,0.0385,0,8900.0,0,standard
750,4333.0,0.0049,0,13000.0,0,standard
554,4400.0,0.8421,0,13200.0,0,standard
522,3583.0,0.7355,2,10700.0,1,standard
606,2375.0,0.596,0,7100.0,0,standard
594,3056.0,0.6577,0,9200.0,0,standard
518,1732.0,1.0,1,5200.0,1,standard
707,7916.0,0.0162,1,23700.0,0,standard
689,4144.0,0.2341,0,12400.0,0,standard
744,9166.0,0.0,0,27500.0,0,standard
584,8000.0,0.6629,1,24000.0,1,standard
610,9057.0,0.5076,1,27200.0,0,standard
421,4200.0,1.0,6,12600.0,1,standard
738,7855.0,0.0212,0,23600.0,0,standard
688,3450.0,0.2578,0,10400.0,1,standard
749,10090.0,0.0052,0,30300.0,0,standard
600,14166.0,0.4902,2,42500.0,1,standard
623,2995.0,0.629,0,9000.0,0,standard
738,2769.0,0.0,0,8300.0,0,standard
560,5550.0,0.8151,0,16600.0,0,standard
604,7048.0,0.5866,0,21100.0,0,standard
499,3977.0,0.6663,4,11900.0,0,standard
663,11500.0,0.348,0,34500.0,0,standard
646,2418.0,0.4972,0,7300.0,0,standard
717,7796.0,0.0,1,23400.0,0,standard
608,7415.0,0.6188,0,22200.0,0,standard
382,2247.0,1.0,6,6700.0,1,standard
728,12000.0,0.1149,0,36000.0,0,standard
619,10433.0,0.466,0,31300.0,0,standard
330,10208.0,0.9195,10,30600.0,1,standard
690,4500.0,0.1751,0,13500.0,0,standard
603,20000.0,0.5381,1,60000.0,1,standard
604,3630.0,0.6277,0,10900.0,0,standard
484,2600.0,1.0,3,7800.0,1,standard
588,7350.0,0.3753,3,22000.0,0,standard
723,4833.0,0.0983,0,14500.0,0,standard
690,2200.0,0.1923,0,6600.0,0,standard
546,2800.0,1.0,0,8400.0,0,standard
741,2733.0,0.0,0,8200.0,0,standard
722,7667.0,0.0785,0,23000.0,0,standard
587,3600.0,0.5971,0,10800.0,1,standard
708,2083.0,0.1751,0,6200.0,0,standard
523,10000.0,0.8631,2,30000.0,1,standard
712,5941.0,0.1477,0,17800.0,0,standard
639,4400.0,0.3979,1,13200.0,1,standard
728,3333.0,0.0596,0,10000.0,0,standard
635,4342.0,0.5115,0,13000.0,0,standard
584,6000.0,0.2465,5,18000.0,1,standard
744,9750.0,0.0164,0,29200.0,0,standard
510,2000.0,1.0,0,6000.0,1,standard
657,2471.0,0.3929,0,7400.0,0,standard
676,6500.0,0.3094,0,19500.0,0,standard
565,6292.0,0.7728,0,18900.0,0,standard
750,2236.0,0.0005,0,6700.0,0,standard
714,9700.0,0.0801,0,29100.0,0,standard
732,6977.0,0.0896,0,20900.0,0,standard
641,5083.0,0.1314,4,15200.0,1,standard
739,10800.0,0.0554,0,32400.0,0,standard
